"Reservoir","Site","DateTime","Depth_m","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_TN","Flag_TP","Flag_NH4","Flag_NO3NO2","Flag_SRP","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"BVR",50,"2015-07-16 12:00:00",6,162,14.7,1,1,6,NA,NA,NA,NA,0,0,7,0,7,0,NA,NA,NA
"BVR",50,"2015-07-16 12:00:00",9,384,32.5,64,4,7,2.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-16 12:00:00",12,823,32.7,544,3,10,2.3,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-23 12:00:00",0.1,267.3,14.8,5,2,5,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-23 12:00:00",3,184,11.5,5,2,8,2.5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-23 12:00:00",6,294,21.5,5,1,5,2.2,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-23 12:00:00",9,596,28.8,349,3,10,2.3,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-23 12:00:00",12,1036,27.8,805,3,10,2.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-30 12:00:00",0.1,241.1,8.4,NA,NA,NA,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-30 12:00:00",3,185.7,8.8,2,2,8,2.7,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-30 12:00:00",6,660,55.5,NA,NA,NA,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-30 12:00:00",9,688.9,25.1,263,3,8,2.4,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-07-30 12:00:00",12,1749,31.2,1290,4,14,3.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-13 12:00:00",0.1,225.5,9.9,1,2,6,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-13 12:00:00",3,155,6.3,1,2,4,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-13 12:00:00",6,296.2,20.8,7,2,7,2.2,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-13 12:00:00",9,1404.4,28,187,2,11,2.3,NA,NA,NA,7,7,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-13 12:00:00",12,NA,NA,1180,3,16,2.8,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-20 12:00:00",0.1,NA,NA,6,1,8,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-20 12:00:00",3,240,15,2,0,11,2.7,NA,NA,NA,0,0,0,4,0,0,NA,NA,NA
"BVR",50,"2015-08-20 12:00:00",6,511.5,34.1,9,2,6,2.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-20 12:00:00",9,692.7,22.5,440,2,10,2.5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-08-20 12:00:00",12,1594.6,30.9,1250,3,12,3.1,NA,NA,NA,0,0,7,7,7,0,NA,NA,NA
"BVR",50,"2015-09-04 12:00:00",0.1,338.6,18.8,5,0,6,NA,NA,NA,NA,0,0,0,3,0,0,NA,NA,NA
"BVR",50,"2015-09-04 12:00:00",3,226.3,12.3,7,1,7,2.9,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-04 12:00:00",6,176.9,16.2,4,1,12,2,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-04 12:00:00",9,849.8,15.8,628,2,9,NA,NA,NA,NA,0,0,7,0,7,0,NA,NA,NA
"BVR",50,"2015-09-04 12:00:00",12,1461.3,23.3,NA,NA,NA,3.2,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-18 12:00:00",0.1,195,8.1,14,1,8,2.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-18 12:00:00",3,185,9.5,3,2,7,2.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-18 12:00:00",6,213,16,NA,NA,NA,2.5,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-18 12:00:00",9,692,17.2,665,2,7,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-09-18 12:00:00",12,1250,23.9,1420,3,18,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-02 12:00:00",0.1,271,18.6,3,2,6,2.8,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-02 12:00:00",3,195,9.1,8,4,6,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-02 12:00:00",6,213,15.2,4,6,8,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-02 12:00:00",9,361,18.9,228,4,10,2.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-02 12:00:00",12,1150,20.3,683,1,4,2.6,NA,NA,NA,0,0,7,7,7,0,NA,NA,NA
"BVR",50,"2015-10-23 12:00:00",0.1,148,9.4,2,2,11,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-23 12:00:00",3,159,7.4,2,2,6,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-23 12:00:00",6,158,6.9,3,3,6,2.6,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2015-10-23 12:00:00",9,1230,15.5,670,1,5,NA,NA,NA,NA,0,0,7,7,7,0,NA,NA,NA
"BVR",50,"2015-10-23 12:00:00",12,1600,17.4,789,1,4,2.8,NA,NA,NA,0,0,7,7,7,0,NA,NA,NA
"BVR",50,"2016-04-06 12:00:00",0.1,196,13.8,24,9,12,4.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"BVR",50,"2016-04-06 12:00:00",3,129,12.8,10,3,6,2.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
